instance,source,scenario_index,depot_internal,truck_walk_eval_preferred,truck_assigned_demands,drone_sequence_spt,drone_assigned_demands,drone_arrival_time
Instance3,table3_existing,4,18,"[18, 8, 0, 10, 3, 10, 0, 8]",,"[12, 7]",,
Instance3,table3_existing,5,15,"[15, 5, 9, 11, 2, 14, 14, 2, 11, 7]",,"[4, 1, 13]",,
Instance3,table3_existing,5,18,"[18, 8, 0, 10, 3, 10, 0, 8]",,"[12, 6]",,
Instance3,table3_existing,6,15,"[15, 5, 9, 11, 2, 14, 14, 2, 11, 7]",,"[4, 1, 13]",,
Instance3,table3_existing,6,18,"[18, 8, 0, 10, 3, 10, 0, 8]",,"[12, 6]",,
Instance3,table3_existing,7,15,"[15, 5, 9, 11, 7, 13, 6, 13, 7, 11]",,"[3, 2]",,
Instance3,table3_existing,7,18,"[18, 8, 12, 4, 1, 14]",,"[0, 10]",,
Instance3,table3_existing,8,15,"[15, 5, 9, 11, 11, 7, 13, 6]",,"[4, 1, 14]",,
Instance3,table3_existing,8,18,"[18, 8, 0, 10, 3, 10, 0, 8]",,"[12, 2]",,
Instance3,table3_existing,9,15,"[15, 5, 9, 11, 2, 14, 14, 2, 11, 7]",,"[4, 1, 13]",,
Instance3,table3_existing,9,18,"[18, 8, 0, 10, 3, 10, 0, 8]",,"[12, 6]",,
Instance3,table3_paper_exact_repaired,0,15,"[15, 5, 9, 11, 2, 14, 2, 11, 7, 11, 9, 15]",,"[4, 1, 13]",,
Instance3,table3_paper_exact_repaired,0,18,"[18, 8, 0, 10, 3, 10, 0, 8, 18]",,"[12, 6]",,
Instance3,table3_paper_exact_repaired,1,15,"[15, 5, 9, 11, 2, 14, 1, 14, 2, 11, 9, 15]",,"[4, 13, 7]",,
Instance3,table3_paper_exact_repaired,1,18,"[18, 8, 0, 10, 3, 10, 0, 8, 18]",,"[12, 6]",,
Instance3,table3_paper_exact_repaired,2,15,"[15, 5, 9, 11, 2, 14, 1, 14, 2, 11, 9, 15]",,"[4, 13, 7]",,
Instance3,table3_paper_exact_repaired,2,18,"[18, 8, 0, 10, 3, 10, 0, 8, 18]",,"[12, 6]",,
Instance3,table3_paper_exact_repaired,3,15,"[15, 5, 9, 11, 2, 14, 2, 11, 7, 11, 9, 15]",,"[4, 1, 13]",,
Instance3,table3_paper_exact_repaired,3,18,"[18, 8, 0, 10, 3, 10, 0, 8, 18]",,"[12, 6]",,
Instance3,table3_paper_exact_repaired,4,15,"[15, 5, 9, 11, 2, 14, 1, 14, 2, 11, 9, 15]",,"[4, 13, 6]",,
