instance,is_best,rank_by_objective,open_depots,open_depots_base,open_depots_idx,status_name,objective,best_bound,achieved_mip_gap,achieved_mip_gap_pct,runtime_sec,error
Instance6,0,10,"[17, 19]","[8, 12]","[2, 4]",OPTIMAL,34.153333333333336,34.153333333333286,1.4563144105955596e-15,1.4563144105955596e-13,20.421000003814697,
Instance7,1,1,"[16, 18]","[5, 8]","[1, 3]",OPTIMAL,81.23333333333333,81.23333333333333,0.0,0.0,102.73199987411499,
Instance7,0,2,"[16, 19]","[5, 11]","[1, 4]",OPTIMAL,83.70000000000002,83.7,1.6978321045641577e-16,1.6978321045641577e-14,230.4340000152588,
Instance7,0,3,"[15, 16]","[1, 5]","[0, 1]",OPTIMAL,84.7,84.7,0.0,0.0,125.9539999961853,
Instance7,0,4,"[16, 17]","[5, 7]","[1, 2]",OPTIMAL,85.87,85.86999999999999,1.6549266001166885e-16,1.6549266001166885e-14,168.88899993896484,
Instance7,0,5,"[18, 19]","[8, 11]","[3, 4]",OPTIMAL,106.18333333333334,106.18333333333334,0.0,0.0,50.7260000705719,
Instance7,0,6,"[17, 18]","[7, 8]","[2, 3]",OPTIMAL,110.50333333333334,110.50333333333333,1.2860114067631747e-16,1.2860114067631748e-14,30.08299994468689,
Instance7,0,7,"[15, 19]","[1, 11]","[0, 4]",OPTIMAL,115.28333333333335,115.28333333333332,2.4653788720894035e-16,2.4653788720894035e-14,73.86999988555908,
Instance7,0,8,"[15, 17]","[1, 7]","[0, 2]",OPTIMAL,119.38,119.38,0.0,0.0,41.1010000705719,
Instance7,0,9,"[15, 18]","[1, 8]","[0, 3]",OPTIMAL,139.1,139.1,0.0,0.0,57.75600004196167,
Instance7,0,10,"[17, 19]","[7, 11]","[2, 4]",OPTIMAL,146.4,146.4,0.0,0.0,37.22500014305115,
Instance8,1,1,"[15, 19]","[1, 14]","[0, 4]",OPTIMAL,6.543333333333334,6.543333333333334,0.0,0.0,51.00999999046326,
Instance8,0,2,"[17, 19]","[8, 14]","[2, 4]",OPTIMAL,7.113333333333333,7.113333333333333,0.0,0.0,28.818000078201294,
Instance8,0,3,"[15, 18]","[1, 12]","[0, 3]",OPTIMAL,7.256666666666667,7.256666666666667,0.0,0.0,103.9449999332428,
Instance8,0,4,"[17, 18]","[8, 12]","[2, 3]",OPTIMAL,8.003333333333334,8.003333333333334,0.0,0.0,63.145999908447266,
Instance8,0,5,"[15, 16]","[1, 7]","[0, 1]",OPTIMAL,8.200000000000001,8.2,2.1662888285368905e-16,2.1662888285368905e-14,70.82999992370605,
Instance8,0,6,"[16, 17]","[7, 8]","[1, 2]",OPTIMAL,8.786666666666669,8.786666666666667,2.021650424203623e-16,2.021650424203623e-14,30.388999938964844,
Instance8,0,7,"[16, 19]","[7, 14]","[1, 4]",OPTIMAL,9.793333333333335,9.793333332857516,4.85859593991249e-11,4.8585959399124895e-09,23.47699999809265,
Instance8,0,8,"[16, 18]","[7, 12]","[1, 3]",OPTIMAL,10.520000000000001,10.520000000000001,0.0,0.0,41.08899998664856,
Instance8,0,9,"[18, 19]","[12, 14]","[3, 4]",OPTIMAL,15.21,15.209999999999997,2.335774936752466e-16,2.335774936752466e-14,25.930000066757202,
Instance8,0,10,"[15, 17]","[1, 8]","[0, 2]",OPTIMAL,15.716666666666665,15.716666666666665,0.0,0.0,20.23900008201599,
Instance9,1,1,"[15, 18]","[2, 8]","[0, 3]",OPTIMAL,90.63333333333334,90.63333333333334,0.0,0.0,34.801000118255615,
Instance9,0,2,"[17, 19]","[6, 13]","[2, 4]",OPTIMAL,92.43333333333334,92.43333333333332,1.5374166659071766e-16,1.5374166659071766e-14,29.96299982070923,
Instance9,0,3,"[17, 18]","[6, 8]","[2, 3]",OPTIMAL,92.47000000000001,92.47,1.5368070417651132e-16,1.536807041765113e-14,23.33400011062622,
Instance9,0,4,"[16, 18]","[4, 8]","[1, 3]",OPTIMAL,94.5,94.5,0.0,0.0,23.10800004005432,
Instance9,0,5,"[15, 19]","[2, 13]","[0, 4]",OPTIMAL,100.13666666666668,100.13666666666666,2.838291944050198e-16,2.8382919440501983e-14,18.55299997329712,
