instance,is_best,rank_by_objective,open_depots,open_depots_base,open_depots_idx,status_name,objective,best_bound,achieved_mip_gap,achieved_mip_gap_pct,rank_by_arrival_rescore,arrival_best_objective,arrival_best_solution_number,arrival_pool_solution_count,runtime_sec,error
Instance6,0,6,"[17, 18]","[8, 10]","[2, 3]",TIME_LIMIT,23.133333333333336,18.223739141076457,0.2122302964952541,21.22302964952541,8,,,,100.10199999809265,
Instance6,0,7,"[16, 18]","[7, 10]","[1, 3]",TIME_LIMIT,26.75999936546493,26.3233333333333,0.016317864068979452,1.6317864068979453,6,,,,100.20299983024597,
Instance6,0,8,"[15, 17]","[3, 8]","[0, 2]",TIME_LIMIT,31.330000000000005,30.779877791824404,0.017558959724723943,1.7558959724723944,2,,,,100.07500004768372,
Instance6,0,9,"[15, 19]","[3, 12]","[0, 4]",TIME_LIMIT,32.99999996961775,32.50419464409961,0.015024403817412402,1.5024403817412402,4,,,,100.30299997329712,
Instance6,0,10,"[17, 19]","[8, 12]","[2, 4]",OPTIMAL,38.58333333333333,38.58333333333333,0.0,0.0,9,,,,24.667999982833862,
Instance7,1,1,"[16, 18]","[5, 8]","[1, 3]",TIME_LIMIT,88.95666381701703,66.81480098146123,0.24890617392196035,24.890617392196035,6,,,,100.20600008964539,
Instance7,0,2,"[15, 16]","[1, 5]","[0, 1]",TIME_LIMIT,97.02333286393838,77.32040650479738,0.20307410369804132,20.30741036980413,1,,,,100.17600011825562,
Instance7,0,3,"[16, 17]","[5, 7]","[1, 2]",TIME_LIMIT,97.25666542365872,66.9421922488792,0.31169558449003953,31.169558449003954,5,,,,100.26900005340576,
Instance7,0,4,"[16, 19]","[5, 11]","[1, 4]",TIME_LIMIT,100.52333286287563,62.3447625335655,0.3797980950491336,37.97980950491336,7,,,,100.13700008392334,
Instance7,0,5,"[18, 19]","[8, 11]","[3, 4]",TIME_LIMIT,114.29666666666668,93.6665789070483,0.18049597036616735,18.049597036616735,10,,,,100.36899995803833,
Instance7,0,6,"[17, 18]","[7, 8]","[2, 3]",TIME_LIMIT,115.43666666666667,100.33095795378539,0.13085711108152764,13.085711108152765,8,,,,100.16799998283386,
Instance7,0,7,"[15, 19]","[1, 11]","[0, 4]",TIME_LIMIT,127.64333181511105,105.34120052179958,0.17472225909627376,17.472225909627376,4,,,,100.43300008773804,
Instance7,0,8,"[15, 17]","[1, 7]","[0, 2]",TIME_LIMIT,128.38666618304418,112.87216368790075,0.1208420076351543,12.084200763515431,2,,,,100.1800000667572,
Instance7,0,9,"[15, 18]","[1, 8]","[0, 3]",TIME_LIMIT,147.78999979651064,124.10005828816794,0.1602946176396302,16.02946176396302,3,,,,100.37999987602234,
Instance7,0,10,"[17, 19]","[7, 11]","[2, 4]",TIME_LIMIT,158.01999999999998,131.42042943081083,0.16833040481704314,16.833040481704316,9,,,,100.36500000953674,
Instance8,1,1,"[15, 19]","[1, 14]","[0, 4]",TIME_LIMIT,7.4233332041922555,5.943417898377185,0.1993599458770492,19.93599458770492,4,,,,100.65000009536743,
Instance8,0,2,"[15, 18]","[1, 12]","[0, 3]",TIME_LIMIT,7.896666444735539,5.243755187188661,0.3359533134789416,33.59533134789416,3,,,,100.14000010490417,
Instance8,0,3,"[17, 19]","[8, 14]","[2, 4]",TIME_LIMIT,8.12666654844444,7.0161509571807015,0.13665081305400764,13.665081305400765,9,,,,100.19400000572205,
Instance8,0,4,"[17, 18]","[8, 12]","[2, 3]",TIME_LIMIT,8.666666387944053,6.150870846654138,0.2902841102536916,29.02841102536916,8,,,,100.20199990272522,
Instance8,0,5,"[15, 16]","[1, 7]","[0, 1]",TIME_LIMIT,9.199999755952954,7.33810415162182,0.20237996236101796,20.237996236101797,1,,,,100.14000010490417,
Instance8,0,6,"[16, 17]","[7, 8]","[1, 2]",TIME_LIMIT,9.880000000000003,8.633538400621307,0.12616008090877487,12.616008090877488,5,,,,100.39000010490417,
